lhfa_string2_eng,fields.basic_information1.zscore.lhfa_string2_eng
lhfa_string2_esp,fields.basic_information1.zscore.lhfa_string2_esp
location,fields.basic_information1.location
months_since_last_deparasiting,fields.months_since_last_deparasiting
notes,fields.basic_information5.notes
number_of_days_cough,fields.basic_information3.number_of_days_cough
number_of_days_diarrhea,fields.basic_information3.number_of_days_diarrhea
number_of_days_fever,fields.basic_information3.number_of_days_fever
number_of_days_flu,fields.basic_information3.number_of_days_flu
number_of_days_vomit,fields.basic_information3.number_of_days_vomit
number_of_times_drink,fields.basic_information2.basic_information2_food.number_of_times_drink
number_of_times_fruits,fields.basic_information2.basic_information2_food.number_of_times_fruits
number_of_times_herbs,fields.basic_information2.basic_information2_food.number_of_times_herbs
only_breastfeeding,fields.basic_information2.basic_information2_breastfeeding.only_breastfeeding
previous_deparasiting_date,fields.previous_deparasiting_date
previous_deparasiting_date_fixed,fields.previous_deparasiting_date_fixed
previous_deparasiting_date_formatted,fields.previous_deparasiting_date_formatted
previous_height_centimeters,fields.previous_height_centimeters
previous_height_summary,fields.basic_information1.previous_height_summary
previous_lhfa_grade,fields.previous_lhfa_grade
previous_visit_date,fields.previous_visit_date
previous_visit_date_fixed,fields.previous_visit_date_fixed
previous_weight_part_ounces,fields.previous_weight_part_ounces
previous_weight_part_pounds,fields.previous_weight_part_pounds
previous_weight_pounds,fields.previous_weight_pounds
previous_weight_summary,fields.basic_information1.previous_weight_summary
previous_wfa_grade,fields.previous_wfa_grade
promoter_community1,fields.basic_information.promoter_identity1.promoter_community1
promoter_community2,fields.basic_information5.promoter_identity2.promoter_community2
promoter_name1,fields.basic_information.promoter_identity1.promoter_name1
promoter_name2,fields.basic_information5.promoter_identity2.promoter_name2
receiving_supplement,fields.receiving_supplement
reference_details,fields.basic_information3.reference_details
reference_needed,fields.basic_information3.reference_needed
reported_date,reported_date
sick_last_week,fields.basic_information3.sick_last_week
source,fields.inputs.source
source_id,fields.inputs.source_id
t_age_stopped_all_breastfeeding,fields.inputs.t_age_stopped_all_breastfeeding
t_age_stopped_exclusively_breastfeeding,fields.inputs.t_age_stopped_exclusively_breastfeeding
t_currently_breastfeeding,fields.inputs.t_currently_breastfeeding
t_deparasite_date,fields.inputs.t_deparasite_date
t_exclusively_breastfeeding,fields.inputs.t_exclusively_breastfeeding
t_height,fields.inputs.t_height
t_hfa_grade,fields.inputs.t_hfa_grade
t_visit_date,fields.inputs.t_visit_date
t_weight_part_ounces,fields.inputs.t_weight_part_ounces
t_weight_part_pounds,fields.inputs.t_weight_part_pounds
t_wfa_grade,fields.inputs.t_wfa_grade
t_wfh_grade,fields.inputs.t_wfh_grade
uuid,uuid
visit_date_final,fields.visit_date_page.visit_date_final
visit_date_other_date,fields.visit_date_page.visit_date_other_date
visit_date_other_decimal_date_time,fields.visit_date_page.visit_date_other_decimal_date_time
visit_date_other_fixed,fields.visit_date_page.visit_date_other_fixed
visit_date_other_formatted,fields.visit_date_page.visit_date_other_formatted
visit_date_use_current,fields.visit_date_page.visit_date_use_current
weight_kg,fields.basic_information1.zscore.weight_kg
weight_part_ounces,fields.basic_information1.weight_part_ounces
weight_part_pounds,fields.basic_information1.weight_part_pounds
weight_pounds,fields.basic_information1.weight_pounds
wfa_grade_difference,fields.basic_information1.zscore.wfa_grade_difference
wfa_string2_eng,fields.basic_information1.zscore.wfa_string2_eng
wfa_string2_esp,fields.basic_information1.zscore.wfa_string2_esp
wfh_string2_eng,fields.basic_information1.zscore.wfh_string2_eng
wfh_string2_esp,fields.basic_information1.zscore.wfh_string2_esp
zscore_age_in_days,fields.basic_information1.zscore.zscore_age_in_days
zscore_sex,fields.basic_information1.zscore.zscore_sex
previous_contact_summary_weight,fields.previous_contact_summary_weight
previous_contact_summary_height,fields.previous_contact_summary_height
p_deparasite_date,fields.p_deparasite_date
p_visit_date,fields.p_visit_date
p_weight_part_pounds,fields.p_weight_part_pounds
p_weight_part_ounces,fields.p_weight_part_ounces
p_height,fields.p_height
p_wfa_grade,fields.p_wfa_grade
p_hfa_grade,fields.p_hfa_grade
p_wfh_grade,fields.p_wfh_grade
p_currently_breastfeeding,fields.p_currently_breastfeeding
p_exclusively_breastfeeding,fields.p_exclusively_breastfeeding
p_age_stopped_exclusively_breastfeeding,fields.p_age_stopped_exclusively_breastfeeding
p_age_stopped_all_breastfeeding,fields.p_age_stopped_all_breastfeeding
p_contact_summary_weight,fields.p_contact_summary_weight
p_contact_summary_height,fields.p_contact_summary_height
current_weight_summary,fields.results_page.current_weight_summary
current_height_summary,fields.results_page.current_height_summary
